doctor_id,name,gender,clinic_id,specialty,symptoms,experience_years
133,"BS Đỗ Văn Thái",Nam,40,"Ngoại khoa;Nội khoa","Mệt mỏi;Phẫu thuật;Chấn thương;Đau nhức",15
134,"BS Trần Thị Thu",Nữ,40,"Tim mạch;Thần kinh","Đau ngực;Đau đầu;Huyết áp cao",12
135,"BS Phạm Văn Tùng",Nam,40,"Da liễu;Mắt","Nám;Mụn;Mờ mắt;Đau mắt",10
136,"BS Lê Thị Uyên",Nữ,40,"Tai Mũi Họng;Ung bướu","Ù tai;Viêm họng;Khối u đầu mặt",10
137,"BS Hoàng Văn Việt",Nam,41,"Nhi khoa","Sốt;Ho;Sổ mũi;Phát ban;Chán ăn",10
138,"BS Vũ Thị Xuân",Nữ,41,"Nhi ngoại","Phẫu thuật nhi;Chấn thương nhi;Hẹp bao quy đầu",8
139,"BS Bùi Văn Yên",Nam,41,"Tim mạch nhi","Tim đập nhanh;Khó thở;Da xanh;Mệt mỏi",10
140,"BS Ngô Thị Zinh",Nữ,41,"Hồi sức nhi","Hồi sức;Sơ sinh;Cấp cứu nhi",8
141,"BS Đỗ Văn An",Nam,42,"Đa khoa;Tim mạch","Mệt mỏi;Đau ngực;Huyết áp cao",12
142,"BS Trần Thị Bình",Nữ,42,"Thần kinh;Cơ xương khớp","Đau đầu;Đau khớp;Tê bì;Thoái hóa",10
143,"BS Phạm Văn Cường",Nam,42,"Nội khoa;Ngoại khoa","Mệt mỏi;Phẫu thuật;Chấn thương",10
144,"BS Lê Thị Dung",Nữ,42,"Ung bướu","Khối u;Sút cân;Mệt mỏi",8
145,"BS Hoàng Văn Em",Nam,43,"Ngoại khoa;Niệu khoa","Tiểu buốt;Phẫu thuật;Chấn thương",12
146,"BS Vũ Thị Giang",Nữ,43,"Nam khoa","Vô sinh nam;Rối loạn cương;Viêm tuyến tiền liệt",10
147,"BS Bùi Văn Hùng",Nam,43,"Ung bướu;Ghép tạng","Khối u;Ghép tạng;Phẫu thuật ung thư",12
148,"BS Ngô Thị Kim",Nữ,43,"Phẫu thuật tổng quát","Phẫu thuật;Chấn thương;Phẫu thuật nội soi",8
149,"BS Đỗ Văn Long",Nam,44,"Ung bướu","Khối u;Sút cân;Mệt mỏi;Chán ăn",15
150,"BS Trần Thị Mai",Nữ,44,"Hóa trị;Xạ trị","Buồn nôn;Rụng tóc;Mệt mỏi;Sốt",12
151,"BS Phạm Văn Nam",Nam,44,"Phẫu thuật ung thư","Phẫu thuật loại bỏ u;Khối u vú;Khối u đại trực tràng",10
152,"BS Lê Thị Oanh",Nữ,44,"Chẩn đoán hình ảnh","Chụp CT;Chụp MRI;Siêu âm;X-quang",8
153,"BS Hoàng Văn Phúc",Nam,45,"Mắt;Phẫu thuật mắt","Mờ mắt;Đau mắt đỏ;Glôcôm;Đục thủy tinh thể",15
154,"BS Vũ Thị Quỳnh",Nữ,45,"Dịch kính - Võng mạc","Bóng mắt;Mờ mắt;Thiệt hại võng mạc",10
155,"BS Bùi Văn Rồng",Nam,45,"Glaucoma;Đo khúc xạ","Đau mắt;Mờ mắt;Cận thị;Loạn thị",8
156,"BS Ngô Thị Sương",Nữ,45,"Nhãn nhi","Mắt trẻ em;Viêm mắt;Khô mắt trẻ",8
157,"BS Đỗ Văn Thái",Nam,46,"Tai Mũi Họng","Đau tai;Viêm xoang;Nghẹt mũi;Ù tai",12
158,"BS Trần Thị Thu",Nữ,46,"Phẫu thuật tai mũi họng","Phẫu thuật amidan;Phẫu thuật xoang;Khối u đầu mặt",10
159,"BS Phạm Văn Tùng",Nam,46,"Ung đầu mặt cổ","Khối u đầu mặt;Phẫu thuật ung thư đầu mặt",8
160,"BS Lê Thị Uyên",Nữ,46,"Cấy ốc tai","Điếc nghe;Cấy ốc tai;Phục hồi thính lực",10
161,"BS Hoàng Văn Việt",Nam,47,"Da liễu","Nám;Tàn nhang;Viêm da;Mụn;Dị ứng",10
162,"BS Vũ Thị Xuân",Nữ,47,"Thẩm mỹ da","Trẻ hoá da;Laser;Nám;Tàn nhang;Mụn",8
163,"BS Bùi Văn Yên",Nam,47,"Da liễu nhi","Viêm da trẻ em;Chàm;Phát ban trẻ em",8
164,"BS Ngô Thị Zinh",Nữ,47,"Nhiễu trùng da","Nhiễu trùng;Viêm da;Bệnh da",8
165,"BS Đỗ Văn An",Nam,48,"Sản phụ khoa","Khám thai;Sinh nở;Hiếm muộn;Phẫu thuật phụ khoa",12
166,"BS Trần Thị Bình",Nữ,48,"Sản khoa","Sinh nở;Dấu hiệu sinh;Chăm sóc sau sinh",10
167,"BS Phạm Văn Cường",Nam,48,"Phụ khoa","Viêm phụ khoa;U nang;U xơ tử cung",8
168,"BS Lê Thị Dung",Nữ,48,"Hiếm muộn - IVF","IVF;Thụ tinh nhân tạo;Vô sinh",10
169,"BS Hoàng Văn Em",Nam,49,"Phụ sản;Sản khoa","Sinh nở;Phẫu thuật sản;Khám thai",12
170,"BS Vũ Thị Giang",Nữ,49,"Phụ khoa","Viêm phụ khoa;U nang;Rối loạn kinh nguyệt",10
171,"BS Bùi Văn Hùng",Nam,49,"Hiếm muộn","Thụ tinh nhân tạo;IVF;Vô sinh",8
172,"BS Ngô Thị Kim",Nữ,49,"Sơ sinh","Sơ sinh;Nuôi con;Bú mẹ",8
173,"BS Đỗ Văn Long",Nam,50,"Đa khoa;Tim mạch","Mệt mỏi;Đau ngực;Huyết áp cao",15
174,"BS Trần Thị Mai",Nữ,50,"Thần kinh;Đột quỵ","Đau đầu;Chóng mặt;Tê bì;Liệt",12
175,"BS Phạm Văn Nam",Nam,50,"Thận - Niệu","Tiểu buốt;Tiểu máu;Sưng thận",10
176,"BS Lê Thị Oanh",Nữ,50,"Ghép thận;Ngoại khoa","Ghép thận;Phẫu thuật;Chấn thương",10
177,"BS Hoàng Văn Phúc",Nam,51,"Đa khoa;Nhi khoa","Mệt mỏi;Sốt;Trẻ em;Sơ sinh",12
178,"BS Vũ Thị Quỳnh",Nữ,51,"Sản phụ khoa;Tim mạch","Khám thai;Đau ngực;Huyết áp cao",10
179,"BS Bùi Văn Rồng",Nam,51,"Ung bướu;Ngoại khoa","Khối u;Phẫu thuật;Sút cân",10
180,"BS Ngô Thị Sương",Nữ,51,"Cấp cứu","Cấp cứu;Chấn thương;Sốc;Ngất",8
181,"BS Đỗ Văn Thái",Nam,52,"Đa khoa;Tim mạch","Mệt mỏi;Đau ngực;Huyết áp cao",12
182,"BS Trần Thị Thu",Nữ,52,"Nội khoa;Sản phụ khoa","Mệt mỏi;Khám thai;Rối loạn kinh nguyệt",10
183,"BS Phạm Văn Tùng",Nam,52,"Nhi khoa","Sốt;Ho;Sổ mũi;Phát ban",10
184,"BS Lê Thị Uyên",Nữ,52,"Chẩn đoán hình ảnh","Chụp CT;Siêu âm;X-quang",8
185,"BS Hoàng Văn Việt",Nam,53,"Đa khoa;Ngoại khoa","Mệt mỏi;Phẫu thuật;Chấn thương",10
186,"BS Vũ Thị Xuân",Nữ,53,"Tim mạch;Nhi khoa","Đau ngực;Trẻ em;Mệt mỏi",8
187,"BS Bùi Văn Yên",Nam,53,"Sản phụ khoa;Ung bướu","Khám thai;Khối u;Phẫu thuật",10
188,"BS Ngô Thị Zinh",Nữ,53,"Nội khoa","Mệt mỏi;Sốt;Đau đầu",8
189,"BS Đỗ Văn An",Nam,54,"Đa khoa","Mệt mỏi;Sốt;Đau đầu;Chán ăn",10
190,"BS Trần Thị Bình",Nữ,54,"Tim mạch;Cấp cứu","Đau ngực;Khó thở;Cấp cứu",8
191,"BS Phạm Văn Cường",Nam,54,"Ngoại khoa","Phẫu thuật;Chấn thương;Gãy xương",10
192,"BS Lê Thị Dung",Nữ,54,"Sản phụ khoa","Khám thai;Sinh nở;Rối loạn kinh nguyệt",8
193,"BS Hoàng Văn Em",Nam,55,"Nhi khoa","Sốt;Ho;Sổ mũi;Phát ban;Chán ăn",10
194,"BS Vũ Thị Giang",Nữ,55,"Nhi sơ sinh","Sơ sinh;Nuôi con;Bú mẹ;Sức khỏe sơ sinh",8
195,"BS Bùi Văn Hùng",Nam,55,"Nhi ngoại","Phẫu thuật nhi;Chấn thương nhi",8
196,"BS Ngô Thị Kim",Nữ,55,"Hồi sức nhi","Hồi sức;Cấp cứu nhi;Sơ sinh",10
197,"BS Đỗ Văn Long",Nam,56,"Tâm thần","Mất ngủ;Lo lắng;Stress;Trầm cảm",10
198,"BS Trần Thị Mai",Nữ,56,"Tâm lý lâm sàng","Lo lắng;Trầm cảm;Rối loạn giấc ngủ",8
199,"BS Phạm Văn Nam",Nam,56,"Điều trị nghiện","Nghiện rượu;Nghiện thuốc;Cai nghiện",10
200,"BS Lê Thị Oanh",Nữ,56,"Tâm thần nhi","Trẻ em;Rối loạn hành vi;Tự kỷ",8
201,"BS Hoàng Văn Phúc",Nam,57,"Y học cổ truyền","Đau nhức;Viêm khớp;Mệt mỏi;Mãn tính",10
202,"BS Vũ Thị Quỳnh",Nữ,57,"Vật lý trị liệu","Liệt;Phục hồi;Chấn thương;Đau mãn tính",8
203,"BS Bùi Văn Rồng",Nam,57,"Châm cứu","Đau nhức;Mất ngủ;Viêm khớp;Tê bì",8
204,"BS Ngô Thị Sương",Nữ,57,"Bấm huyệt","Đau cơ;Thoái hóa;Mệt mỏi",8
205,"BS Đỗ Văn Thái",Nam,58,"Răng Hàm Mặt","Đau răng;Sưng nướu;Viêm nha chu",10
206,"BS Trần Thị Thu",Nữ,58,"Nha khoa tổng quát","Khám răng;Sửa răng;Vệ sinh răng",8
207,"BS Phạm Văn Tùng",Nam,58,"Phẫu thuật hàm mặt","Phẫu thuật;Chấn thương hàm;Khối u hàm",10
208,"BS Lê Thị Uyên",Nữ,58,"Implant nha khoa","Implant;Phục hồi răng缺失",8
209,"BS Hoàng Văn Việt",Nam,59,"Đa khoa;Tim mạch","Mệt mỏi;Đau ngực;Huyết áp cao",10
210,"BS Vũ Thị Xuân",Nữ,59,"Nội khoa;Sản phụ khoa","Mệt mỏi;Khám thai;Rối loạn kinh nguyệt",8
211,"BS Bùi Văn Yên",Nam,59,"Ngoại khoa;Nhi khoa","Phẫu thuật;Trẻ em;Chấn thương",10
212,"BS Ngô Thị Zinh",Nữ,59,"Sản phụ khoa;Nhi","Khám thai;Nhi khoa;Sơ sinh",8
213,"BS Đỗ Văn An",Nam,60,"Đa khoa","Mệt mỏi;Sốt;Đau đầu;Chán ăn",10
214,"BS Trần Thị Bình",Nữ,60,"Nhi khoa","Sốt;Ho;Sổ mũi;Phát ban",8
215,"BS Phạm Văn Cường",Nam,60,"Nội khoa","Mệt mỏi;Sốt;Đau đầu",8
216,"BS Lê Thị Dung",Nữ,60,"Sản phụ khoa","Khám thai;Sinh nở;Rối loạn kinh nguyệt",8
217,"BS Hoàng Văn Em",Nam,61,"Đa khoa;Nội khoa","Mệt mỏi;Sốt;Đau đầu",10
218,"BS Vũ Thị Giang",Nữ,61,"Nhi khoa","Sốt;Ho;Sổ mũi;Phát ban",8
219,"BS Bùi Văn Hùng",Nam,61,"Sản phụ khoa","Khám thai;Sinh nở;Rối loạn kinh nguyệt",8
220,"BS Ngô Thị Kim",Nữ,61,"Cấp cứu","Cấp cứu;Chấn thương;Sốc;Ngất",10
221,"BS Đỗ Văn Long",Nam,62,"Đa khoa;Tim mạch","Mệt mỏi;Đau ngực;Huyết áp cao",10
222,"BS Trần Thị Mai",Nữ,62,"Ngoại khoa;Ung bướu","Phẫu thuật;Khối u;Sút cân",8
223,"BS Phạm Văn Nam",Nam,62,"Nội khoa","Mệt mỏi;Sốt;Đau đầu",8
224,"BS Lê Thị Oanh",Nữ,62,"Nhi khoa","Sốt;Ho;Sổ mũi;Phát ban",8
225,"BS Hoàng Văn Phúc",Nam,63,"Nội khoa;Ngoại khoa","Mệt mỏi;Phẫu thuật;Chấn thương",12
226,"BS Vũ Thị Quỳnh",Nữ,63,"Tim mạch","Đau ngực;Khó thở;Huyết áp cao",10
227,"BS Bùi Văn Rồng",Nam,63,"Sản phụ khoa","Khám thai;Sinh nở;Rối loạn kinh nguyệt",8
228,"BS Ngô Thị Sương",Nữ,63,"Nhi khoa","Sốt;Ho;Sổ mũi;Phát ban",8
229,"BS Đỗ Văn Thái",Nam,64,"Mắt;Phẫu thuật mắt","Mờ mắt;Đau mắt đỏ;Glôcôm",10
230,"BS Trần Thị Thu",Nữ,64,"Dịch kính - Võng mạc","Bóng mắt;Mờ mắt;Thiệt hại võng mạc",8
231,"BS Phạm Văn Tùng",Nam,64,"Đo khúc xạ","Cận thị;Loạn thị;Viễn thị",8
232,"BS Lê Thị Uyên",Nữ,64,"Mắt trẻ em","Viêm mắt trẻ;Khô mắt trẻ",8
233,"BS Hoàng Văn Việt",Nam,65,"Hô hấp","Ho kéo dài;Khó thở;Đờm máu",10
234,"BS Vũ Thị Xuân",Nữ,65,"Lao phổi","Lao;Ho kéo dài;Sụt cân",8
235,"BS Bùi Văn Yên",Nam,65,"Nội soi phế quản","Nội soi;Chẩn đoán phổi",8
236,"BS Ngô Thị Zinh",Nữ,65,"Đo chức năng hô hấp","Đo hô hấp;Viêm phế quản",8
237,"BS Đỗ Văn An",Nam,66,"Nội khoa;Ngoại khoa","Mệt mỏi;Phẫu thuật;Chấn thương",10
238,"BS Trần Thị Bình",Nữ,66,"Sản phụ khoa","Khám thai;Sinh nở;Rối loạn kinh nguyệt",8
239,"BS Phạm Văn Cường",Nam,66,"Nhi khoa","Sốt;Ho;Sổ mũi;Phát ban",8
240,"BS Lê Thị Dung",Nữ,66,"Cấp cứu","Cấp cứu;Chấn thương;Sốc;Ngất",10
241,"BS Hoàng Văn Em",Nam,67,"Tim mạch;Can thiệp tim mạch","Đau ngực;Nhồi máu cơ tim;Stent mạch vành",12
242,"BS Vũ Thị Giang",Nữ,67,"Phẫu thuật tim","Phẫu thuật tim;Ghép tim",10
243,"BS Bùi Văn Hùng",Nam,67,"Siêu âm tim","Siêu âm tim;Điện tâm đồ;Thử gắng sức",8
244,"BS Ngô Thị Kim",Nữ,67,"Chụp mạch vành","Chụp mạch;Can thiệp mạch",8
245,"BS Đỗ Văn Long",Nam,68,"Ung bướu","Khối u;Sút cân;Mệt mỏi",10
246,"BS Trần Thị Mai",Nữ,68,"Hóa trị;Xạ trị","Buồn nôn;Rụng tóc;Mệt mỏi",8
247,"BS Phạm Văn Nam",Nam,68,"Phẫu thuật ung thư","Phẫu thuật loại bỏ u;Khối u",8
248,"BS Lê Thị Oanh",Nữ,68,"Chẩn đoán hình ảnh","Chụp CT;Siêu âm;X-quang",8
249,"BS Hoàng Văn Phúc",Nam,69,"Nội khoa;Ngoại khoa","Mệt mỏi;Phẫu thuật;Chấn thương",10
250,"BS Vũ Thị Quỳnh",Nữ,69,"Sản phụ khoa","Khám thai;Sinh nở;Rối loạn kinh nguyệt",8
251,"BS Bùi Văn Rồng",Nam,69,"Nhi khoa","Sốt;Ho;Sổ mũi;Phát ban",8
252,"BS Ngô Thị Sương",Nữ,69,"Cấp cứu","Cấp cứu;Chấn thương;Sốc;Ngất",10
253,"BS Đỗ Văn Thái",Nam,70,"Nội khoa;Ngoại khoa","Mệt mỏi;Phẫu thuật;Chấn thương",12
254,"BS Trần Thị Thu",Nữ,70,"Tim mạch","Đau ngực;Khó thở;Huyết áp cao",10
255,"BS Phạm Văn Tùng",Nam,70,"Thần kinh","Đau đầu;Chóng mặt;Tê bì",8
256,"BS Lê Thị Uyên",Nữ,70,"Ung bướu","Khối u;Sút cân;Mệt mỏi",8
257,"BS Hoàng Văn Việt",Nam,71,"Nội khoa;Ngoại khoa","Mệt mỏi;Phẫu thuật;Chấn thương",15
258,"BS Vũ Thị Xuân",Nữ,71,"Tim mạch;Thần kinh","Đau ngực;Đau đầu;Huyết áp cao",12
259,"BS Bùi Văn Yên",Nam,71,"Ung bướu;Ghép tạng","Khối u;Ghép tạng;Phẫu thuật ung thư",12
260,"BS Ngô Thị Zinh",Nữ,71,"Sản phụ khoa","Khám thai;Sinh nở;Rối loạn kinh nguyệt",10
261,"BS Đỗ Văn An",Nam,72,"Mắt;Phẫu thuật mắt","Mờ mắt;Đau mắt đỏ;Glôcôm",10
262,"BS Trần Thị Bình",Nữ,72,"Dịch kính - Võng mạc","Bóng mắt;Mờ mắt;Thiệt hại võng mạc",8
263,"BS Phạm Văn Cường",Nam,72,"Glôcôm","Đau mắt;Mờ mắt;Áp lực mắt",8
264,"BS Lê Thị Dung",Nữ,72,"Mắt trẻ em","Viêm mắt trẻ;Khô mắt trẻ",8
265,"BS Hoàng Văn Em",Nam,73,"Nội khoa;Ngoại khoa","Mệt mỏi;Phẫu thuật;Chấn thương",10
266,"BS Vũ Thị Giang",Nữ,73,"Tim mạch","Đau ngực;Khó thở;Huyết áp cao",8
267,"BS Bùi Văn Hùng",Nam,73,"Sản phụ khoa","Khám thai;Sinh nở;Rối loạn kinh nguyệt",8
268,"BS Ngô Thị Kim",Nữ,73,"Nhi khoa","Sốt;Ho;Sổ mũi;Phát ban",8
269,"BS Đỗ Văn Long",Nam,74,"Nội khoa;Ngoại khoa","Mệt mỏi;Phẫu thuật;Chấn thương",12
270,"BS Trần Thị Mai",Nữ,74,"Tim mạch","Đau ngực;Khó thở;Huyết áp cao",10
271,"BS Phạm Văn Nam",Nam,74,"Thần kinh","Đau đầu;Chóng mặt;Tê bì",8
272,"BS Lê Thị Oanh",Nữ,74,"Ung bướu","Khối u;Sút cân;Mệt mỏi",8
273,"BS Hoàng Văn Phúc",Nam,75,"Nội khoa;Ngoại khoa","Mệt mỏi;Phẫu thuật;Chấn thương",10
274,"BS Vũ Thị Quỳnh",Nữ,75,"Sản phụ khoa","Khám thai;Sinh nở;Rối loạn kinh nguyệt",8
275,"BS Bùi Văn Rồng",Nam,75,"Nhi khoa","Sốt;Ho;Sổ mũi;Phát ban",8
276,"BS Ngô Thị Sương",Nữ,75,"Cấp cứu","Cấp cứu;Chấn thương;Sốc;Ngất",10
277,"BS Đỗ Văn Thái",Nam,76,"Nội khoa;Ngoại khoa","Mệt mỏi;Phẫu thuật;Chấn thương",10
278,"BS Trần Thị Thu",Nữ,76,"Tim mạch","Đau ngực;Khó thở;Huyết áp cao",8
279,"BS Phạm Văn Tùng",Nam,76,"Thần kinh","Đau đầu;Chóng mặt;Tê bì",8
280,"BS Lê Thị Uyên",Nữ,76,"Ung bướu","Khối u;Sút cân;Mệt mỏi",8
281,"BS Hoàng Văn Việt",Nam,77,"Nội khoa;Ngoại khoa","Mệt mỏi;Phẫu thuật;Chấn thương",12
282,"BS Vũ Thị Xuân",Nữ,77,"Tim mạch;Thần kinh","Đau ngực;Đau đầu;Huyết áp cao",10
283,"BS Bùi Văn Yên",Nam,77,"Ung bướu;Ghép tạng","Khối u;Ghép tạng;Phẫu thuật ung thư",10
284,"BS Ngô Thị Zinh",Nữ,77,"Sản phụ khoa","Khám thai;Sinh nở;Rối loạn kinh nguyệt",8
285,"BS Đỗ Văn An",Nam,78,"Nội khoa;Ngoại khoa","Mệt mỏi;Phẫu thuật;Chấn thương",10
286,"BS Trần Thị Bình",Nữ,78,"Tim mạch","Đau ngực;Khó thở;Huyết áp cao",8
287,"BS Phạm Văn Cường",Nam,78,"Thần kinh","Đau đầu;Chóng mặt;Tê bì",8
288,"BS Lê Thị Dung",Nữ,78,"Ung bướu","Khối u;Sút cân;Mệt mỏi",8
